INDICATOR_LABEL	INDICATOR_ID	INDICATOR_DESC	MINSET_SERIES	MINSET_SERIES_DESC	REF_AREA	REF_AREA_DESC	TSK_sub_dims	TSK_sub_id	TSK_sub_desc	sort_order	ISO3	X	Y	UNmember	GEOLEVEL	GEOLEVEL_Desc	SDG_REGION	years	min_year	max_year	N_years	N_years_lag5	N_years_lag10
QV.1	Ic6261123	Whether or not reservation to article 16 of CEDAW	S822110a9	Reservations to CEDAW - Equality in employment (retired)	364	Iran (Islamic Republic of)				10400	IRN	54.19766348	32.74370885	1.0	4	Country or Area	Central and Southern Asia	[2017]	2017	2017	1	1	1
QV.1	Ic6261123	Whether or not reservation to article 16 of CEDAW	S822110a9	Reservations to CEDAW - Equality in employment (retired)	840	United States of America				10400	USA	-99.13830311	39.5277871	1.0	4	Country or Area	Europe and Northern America	[2017]	2017	2017	1	1	1
QV.1	Ic6261123	Whether or not reservation to article 16 of CEDAW	S822110a9	Reservations to CEDAW - Equality in employment (retired)	520	Nauru				10400	NRU	166.92313	-0.528742623	1.0	4	Country or Area	Oceania, exc. Australia and New Zealand	[2017]	2017	2017	1	1	1
QV.1	Ic6261123	Whether or not reservation to article 16 of CEDAW	S822110a9	Reservations to CEDAW - Equality in employment (retired)	585	Palau				10400	PLW	134.5733878	7.502307591	1.0	4	Country or Area	Oceania, exc. Australia and New Zealand	[2017]	2017	2017	1	1	1
QV.1	Ic6261123	Whether or not reservation to article 16 of CEDAW	S822110a9	Reservations to CEDAW - Equality in employment (retired)	776	Tonga				10400	TON	-175.1959991	-21.19511329	1.0	4	Country or Area	Oceania, exc. Australia and New Zealand	[2017]	2017	2017	1	1	1
QV.1	Ic6261123	Whether or not reservation to article 16 of CEDAW	S822110a9	Reservations to CEDAW - Equality in employment (retired)	706	Somalia				10400	SOM	46.20367477	4.406485729	1.0	4	Country or Area	Sub-Saharan Africa	[2017]	2017	2017	1	1	1
QV.1	Ic6261123	Whether or not reservation to article 16 of CEDAW	S822110a9	Reservations to CEDAW - Equality in employment (retired)	729	Sudan				10400	SDN	29.95650159	16.02643066	1.0	4	Country or Area	Northern Africa and Western Asia	[2017]	2017	2017	1	1	1
QV.1	Ic6261123	Whether or not reservation to article 16 of CEDAW	S822110a9	Reservations to CEDAW - Equality in employment (retired)	275	State of Palestine				10400	PSE	35.25694122	31.94347933		4	Country or Area	Northern Africa and Western Asia	[2017]	2017	2017	1	1	1
QV.1	Ic6261123	Whether or not reservation to article 16 of CEDAW	S822110a9	Reservations to CEDAW - Equality in employment (retired)	344	China, Hong Kong Special Administrative Region				10400	HKG	114.0266445	22.41749934		4	Country or Area	Eastern and South-Eastern Asia	[2017]	2017	2017	1	1	1
QV.1	Ic6261123	Whether or not reservation to article 16 of CEDAW	S822110a9	Reservations to CEDAW - Equality in employment (retired)	36	Australia				10400	AUS	134.3499412	-25.57717202	1.0	4	Country or Area	Australia and New Zealand	[2017]	2017	2017	1	1	1
QV.1	Ic6261123	Whether or not reservation to article 16 of CEDAW	S822110a9	Reservations to CEDAW - Equality in employment (retired)	40	Austria				10400	AUT	14.14172472	47.58704857	1.0	4	Country or Area	Europe and Northern America	[2017]	2017	2017	1	1	1
QV.1	Ic6261123	Whether or not reservation to article 16 of CEDAW	S822110a9	Reservations to CEDAW - Equality in employment (retired)	372	Ireland				10400	IRL	-7.121425272	53.25274054	1.0	4	Country or Area	Europe and Northern America	[2017]	2017	2017	1	1	1
QV.1	Ic6261123	Whether or not reservation to article 16 of CEDAW	S822110a9	Reservations to CEDAW - Equality in employment (retired)	470	Malta				10400	MLT	14.44617519	35.89194275	1.0	4	Country or Area	Europe and Northern America	[2017]	2017	2017	1	1	1
QV.1	Ic6261123	Whether or not reservation to article 16 of CEDAW	S822110a9	Reservations to CEDAW - Equality in employment (retired)	826	United Kingdom of Great Britain and Northern Ireland				10400	GBR	-2.23830539	53.27691757	1.0	4	Country or Area	Europe and Northern America	[2017]	2017	2017	1	1	1
QV.1	Ic6261123	Whether or not reservation to article 16 of CEDAW	S822110a9	Reservations to CEDAW - Equality in employment (retired)	583	Micronesia (Federated States of)				10400	FSM	158.225216	6.880670092	1.0	4	Country or Area	Oceania, exc. Australia and New Zealand	[2017]	2017	2017	1	1	1
QV.1	Ic6261123	Whether or not reservation to article 16 of CEDAW	S822110a9	Reservations to CEDAW - Equality in employment (retired)	702	Singapore				10400	SGP	103.8107883	1.361009155	1.0	4	Country or Area	Eastern and South-Eastern Asia	[2017]	2017	2017	1	1	1
